Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
1981,107936,1.3,,Less: Capital transfers - to the rest of the world,D.9,2016,100,EC dollar,1993,Western calendar year,42989000,1979,8.944,,1980,Gross National Income (GNI),86404508.15,Household consumption expenditure (including Non-profit institutions serving households),1956693635,2016,"Mining, Manufacturing, Utilities (ISIC C-E)",195799015,1965,0,2008,All Commodities,Export,30538190,,No Quantity,32878AIDZF...,2007,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-285076000,2022,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,719.63,5027,Weight in kilograms,5027
1980,108231,1.3,,Less: Gross capital formation,P.5,2016,100,EC dollar,1993,Western calendar year,547727000,1978,5.2301,,1979,Gross National Income (GNI),79936941.48,General government final consumption expenditure,354718944,2016,Manufacturing (ISIC D),96231780.14,1960,0,2007,All Commodities,Import,365125245,,No Quantity,32878AHDZF...,2007,INCOME: DEBIT,MILLIONS OF US$,-48099600,2022,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, cold-formed or cold-finished, (not free-cutting)",Import,2335.556,222,Weight in kilograms,222
1979,108740,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2016,100,EC dollar,1993,Western calendar year,-144605000,1977,6.9463,,1978,Gross National Income (GNI),69019242.22,Gross capital formation,547726546,2016,Construction (ISIC F),162101975,,,2007,All Commodities,Export,33410869,,No Quantity,32878AGDZF...,2007,INCOME: CREDIT,MILLIONS OF US$,13645400,2022,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,129832.963,134856,Weight in kilograms,134856
1978,109516,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2015,100,EC dollar,1993,Western calendar year,2691920000,1976,0,,1977,Gross National Income (GNI),55791985.19,Gross fixed capital formation (including Acquisitions less disposals of valuables),547726546,2016,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",332564213.9,,,2006,All Commodities,Import,298907572,,No Quantity,32878AFDZF...,2007,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-250622000,2022,"Iron or non-alloy steel; L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,5436.296,1755,Weight in kilograms,1755
1977,110254,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2015,100,EC dollar,1993,Western calendar year,-82504000,1975,0,,1976,Gross National Income (GNI),49576691.02,Exports of goods and services,1416896473,2016,"Transport, storage and communication (ISIC I)",282793428.8,,,2006,All Commodities,Re-Export,7158648,,No Quantity,32878AEDZF...,2007,SERVICES: DEBIT,MILLIONS OF US$,-110877000,2022,"Iron or non-alloy steel; T sections, hot-rolled, hot-drawn or extruded, of a height less than 80mm",Import,8900,900,Weight in kilograms,900
1976,110988,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2015,100,EC dollar,1993,Western calendar year,3170000,1974,0,,1975,Gross National Income (GNI),49700425.45,Imports of goods and services,1429555069,2016,Other Activities (ISIC J-P),1228456208,,,2006,All Commodities,Export,25370551,,No Quantity,32878ADDZF...,2007,SERVICES: CREDIT,MILLIONS OF US$,147441000,2022,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,29828.518,1474,Weight in kilograms,1474
1975,111725,1.3,,Less: Compensation of employees - to the rest of the world,D.1,2015,100,EC dollar,1993,Western calendar year,85674000,1973,0,,1974,Gross National Income (GNI),40409693.35,Gross Domestic Product (GDP),2866430201,2016,Total Value Added,2347746290,,,2005,All Commodities,Import,334034364,,No Quantity,32878ACDZF...,2007,TRADE BALANCE,MILLIONS OF US$,-287186000,2022,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,6842.963,3182,Weight in kilograms,3182
1974,112478,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2015,100,EC dollar,1993,Western calendar year,-218741000,1972,0,,1973,Gross National Income (GNI),39069157.04,Final consumption expenditure,2150458355,2015,"Agriculture, hunting, forestry, fishing (ISIC A-B)",199965113,,,2005,All Commodities,Re-Export,6106077,,No Quantity,32878ABDZF...,2007,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-327889000,2022,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,73511.111,24918,Weight in kilograms,24918
1973,113249,1.3,,Plus: Property income - from the rest of the world,D.4,2015,100,EC dollar,1993,Western calendar year,32175000,1971,0,,1972,Gross National Income (GNI),31695851.54,Household consumption expenditure (including Non-profit institutions serving households),1811823069,2015,"Mining, Manufacturing, Utilities (ISIC C-E)",188444995,,,2005,All Commodities,Export,27644855,,No Quantity,32878AADZF...,2007,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,40703700,2022,"Iron or non-alloy steel; L or T sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,5354.444,3518,Weight in kilograms,3518
1972,114039,1.3,,Less:  Property income - to the rest of the world,D.4,2015,100,EC dollar,1993,Western calendar year,250915000,1970,0,,1971,Gross National Income (GNI),23713676.44,General government final consumption expenditure,338635285,2015,Manufacturing (ISIC D),92043828,,,2004,All Commodities,Import,250481548,,No Quantity,32878AADZF...,2006,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,32298900,2022,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,184271.111,69879,Weight in kilograms,69879
1971,114918,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2015,100,EC dollar,1993,Western calendar year,-301245000,,,,1970,Gross National Income (GNI),18744051.49,Gross capital formation,518957583,2015,Construction (ISIC F),143318106,,,2004,All Commodities,Re-Export,7213799,,No Quantity,32878ABDZF...,2006,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-266743000,2022,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,2020,1095,Weight in kilograms,1095
1970,115912,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2015,100,EC dollar,1993,Western calendar year,35345000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),477360000,2015,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",324653826,,,2004,All Commodities,Export,31574496,,No Quantity,32878ACDZF...,2006,TRADE BALANCE,MILLIONS OF US$,-234444000,2022,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,152.963,110,Weight in kilograms,110
1969,116945,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2015,100,EC dollar,1993,Western calendar year,336589000,,,,,,,Changes in inventories,41597583,2015,"Transport, storage and communication (ISIC I)",272327337,,,2003,All Commodities,Import,253596774,,No Quantity,32878ADDZF...,2006,SERVICES: CREDIT,MILLIONS OF US$,130008000,2022,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,106847.037,60568,Weight in kilograms,60568
1968,117972,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2015,100,EC dollar,1993,Western calendar year,2390680000,,,,,,,Exports of goods and services,1379101455,2015,Other Activities (ISIC J-P),1200220293,,,2003,All Commodities,Re-Export,11117622,,No Quantity,32878AEDZF...,2006,SERVICES: DEBIT,MILLIONS OF US$,-101173000,2022,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,30363.704,19410,Weight in kilograms,19410
1967,118980,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2015,100,EC dollar,1993,Western calendar year,80009000,,,,,,,Imports of goods and services,1369111771,2015,Total Value Added,2328929670,,,2003,All Commodities,Export,40192364,,No Quantity,32878AFDZF...,2006,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-205609000,2022,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,11628.148,7808,Weight in kilograms,7808
1966,119966,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2015,100,EC dollar,1993,Western calendar year,113572000,,,,,,,Gross Domestic Product (GDP),2691923621,2014,"Agriculture, hunting, forestry, fishing (ISIC A-B)",149382819.7,,,2002,All Commodities,Import,198821724,,No Quantity,32878AGDZF...,2006,INCOME: CREDIT,MILLIONS OF US$,13255700,2022,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,56459.259,22309,Weight in kilograms,22309
1965,120921,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2015,100,EC dollar,1993,Western calendar year,33564000,,,,,,,Final consumption expenditure,2070941305,2014,"Mining, Manufacturing, Utilities (ISIC C-E)",181275655,,,2002,All Commodities,Re-Export,5359850,,No Quantity,32878AHDZF...,2006,INCOME: DEBIT,MILLIONS OF US$,-42140500,2022,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,50263.333,26002,Weight in kilograms,26002
1964,121838,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2015,100,EC dollar,1993,Western calendar year,2470690000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),1697078270,2014,Manufacturing (ISIC D),88798345.24,,,2002,All Commodities,Export,38261840,,No Quantity,32878AIDZF...,2006,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-234494000,2022,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,60.741,2,Weight in kilograms,2
1963,122724,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2015,100,EC dollar,1993,Western calendar year,2150460000,,,,,,,General government final consumption expenditure,373863035,2014,Construction (ISIC F),133981134.9,,,2001,All Commodities,Import,212155786,,No Quantity,32878AJDZF...,2006,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,48794500,2022,"Steel, stainless; flat-rolled, width less than 600mm, n.e.c. in heading no 7220",Import,3380.37,226,Weight in kilograms,226
1962,123663,1.3,,"Equals: SAVING, GROSS",B.8g,2015,100,EC dollar,1993,Western calendar year,320227000,,,,,,,Gross capital formation,433895786,2014,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",307400822.3,,,2001,All Commodities,Re-Export,4595540,,No Quantity,32878AKDZF...,2006,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-12675000,2022,"Steel, stainless; bars and rods, hot-rolled, in irregularly wound coils",Import,1063.333,200,Weight in kilograms,200
1961,124610,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2015,100,EC dollar,1993,Western calendar year,219793000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),449700000,2014,"Transport, storage and communication (ISIC I)",278799222.7,,,2001,All Commodities,Export,58638839,,No Quantity,32878ALDZF...,2006,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-198375000,2022,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, of circular cross-section",Import,13249.63,10439,Weight in kilograms,10439
1960,125438,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2015,100,EC dollar,1993,Western calendar year,230593000,,,,,,,Changes in inventories,-15804214,2014,Other Activities (ISIC J-P),1155887761,,,2000,All Commodities,Import,238790622,,No Quantity,32878BADZF...,2006,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,63797800,2022,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,1102.222,143,Weight in kilograms,143
,,1.3,,Less: Capital transfers - to the rest of the world,D.9,2015,100,EC dollar,1993,Western calendar year,10800000,,,,,,,Exports of goods and services,1292138655,2014,Total Value Added,2204130749,,,2000,All Commodities,Re-Export,5223336,,No Quantity,32878BBDZF...,2006,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2037940,2022,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,2122777.405,1861660,Weight in kilograms,1861660
,,1.3,,Less: Gross capital formation,P.5,2015,100,EC dollar,1993,Western calendar year,518958000,,,,,,,Imports of goods and services,1330901566,2013,"Agriculture, hunting, forestry, fishing (ISIC A-B)",107780106,,,2000,All Commodities,Export,75844014,,No Quantity,32878BCDZF...,2006,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,61759900,2022,"Steel, stainless; angles, shapes and sections",Import,7373.704,588,Weight in kilograms,588
,,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2015,100,EC dollar,1993,Western calendar year,21062000,,,,,,,Gross Domestic Product (GDP),2461040531,2013,"Mining, Manufacturing, Utilities (ISIC C-E)",179434766.5,,,1999,All Commodities,Import,202215440,,No Quantity,32878BDDZF...,2006,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2022,"Steel, stainless; wire",Import,885.926,532,Weight in kilograms,532
,,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2014,100,EC dollar,1993,Western calendar year,2461210000,,,,,,,Final consumption expenditure,2386790000,2013,Manufacturing (ISIC D),87439262.27,,,1999,All Commodities,Re-Export,3615614,,No Quantity,32878BEDZF...,2006,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,89787100,2022,"Steel, alloy; flat-rolled, width 600mm or more, n.e.c. in heading no. 7225, plated or coated with zinc (other than electrolytically)",Import,1192.222,50,Weight in kilograms,50
,,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2014,100,EC dollar,1993,Western calendar year,-75350000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),2014170000,2013,Construction (ISIC F),140584065.8,,,1999,All Commodities,Export,36320656,,No Quantity,32878BFDZF...,2006,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-5315740,2022,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,27187.778,74932,Weight in kilograms,74932
,,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2014,100,EC dollar,1993,Western calendar year,2911000,,,,,,,General government final consumption expenditure,372620000,2013,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",262967535.7,,,1998,All Commodities,Import,200001152,,No Quantity,32878BGDZF...,2006,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,4565880,2022,"Steel, alloy; bars and rods, hot-rolled, hot-drawn or extruded",Import,488890.37,503000,Weight in kilograms,503000
,,1.3,,Less: Compensation of employees - to the rest of the world,D.1,2014,100,EC dollar,1993,Western calendar year,78260000,,,,,,,Gross capital formation,455260000,2013,"Transport, storage and communication (ISIC I)",256520588.5,,,1998,All Commodities,Re-Export,2862421,,No Quantity,32878BHDZF...,2006,OTHER INVESTMENT ASSETS,MILLIONS OF US$,79935000,2022,"Steel, alloy; bars and rods, cold-formed or cold-finished",Import,401.111,338,Weight in kilograms,338
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2014,100,EC dollar,1993,Western calendar year,-139614000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),455260000,2013,Other Activities (ISIC J-P),1128857048,,,1998,All Commodities,Export,40593068,,No Quantity,32878BIDZF...,2006,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-32291600,2022,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,63424.815,33675,Weight in kilograms,33675
,,1.3,,Plus: Property income - from the rest of the world,D.4,2014,100,EC dollar,1993,Western calendar year,32157000,,,,,,,Exports of goods and services,578460000,2013,Total Value Added,2071543245,,,1997,All Commodities,Import,167667600,,No Quantity,32878BJDZF...,2006,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,136681000,2022,"Steel, alloy; wire, of silico-manganese steel",Import,3749.259,3973,Weight in kilograms,3973
,,1.3,,Less:  Property income - to the rest of the world,D.4,2014,100,EC dollar,1993,Western calendar year,171771000,,,,,,,Imports of goods and services,1145570000,2012,"Agriculture, hunting, forestry, fishing (ISIC A-B)",99430146.12,,,1997,All Commodities,Re-Export,2298240,,No Quantity,32878BSDZF...,2006,OI MON AUTH LIAB,MILLIONS OF US$,0,2022,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,2033.704,1048,Weight in kilograms,1048
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2014,100,EC dollar,1993,Western calendar year,-214964000,,,,,,,Gross Domestic Product (GDP),2275074257,2012,"Mining, Manufacturing, Utilities (ISIC C-E)",180095930.7,,,1997,All Commodities,Export,25964948,,No Quantity,32878CADZF...,2006,NET ERRORS AND OMISSIONS,MILLIONS OF US$,5029520,2021,Ferro-alloys; ferro-vanadium,Import,34.074,2,Weight in kilograms,2
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2014,100,EC dollar,1993,Western calendar year,35067000,,,,,,,Final consumption expenditure,2317510000,2012,Manufacturing (ISIC D),89448341.45,,,1996,All Commodities,Import,151361984,,No Quantity,32878CBDZF...,2006,OVERALL BALANCE,MILLIONS OF US$,5095190,2021,Ferro-alloys; n.e.c. in heading no. 7202,Import,2455.185,60,Weight in kilograms,60
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2014,100,EC dollar,1993,Western calendar year,250031000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),1964900000,2012,Construction (ISIC F),110785050.1,,,1996,All Commodities,Re-Export,1526004,,No Quantity,32878CBDZF...,2005,OVERALL BALANCE,MILLIONS OF US$,-27400200,2021,Ferrous waste and scrap; of cast iron,Re-Export,3917.778,72950,Weight in kilograms,72950
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2014,100,EC dollar,1993,Western calendar year,2246250000,,,,,,,General government final consumption expenditure,352610000,2012,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",259951411.4,,,1996,All Commodities,Export,19773284,,No Quantity,32878CADZF...,2005,NET ERRORS AND OMISSIONS,MILLIONS OF US$,-28201000,2021,Ferrous waste and scrap; of cast iron,Export,3917.778,72950,Weight in kilograms,72950
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2014,100,EC dollar,1993,Western calendar year,77006000,,,,,,,Gross capital formation,352990000,2012,"Transport, storage and communication (ISIC I)",244443889.5,,,1995,All Commodities,Re-Export,1504216,,No Quantity,32878BSDZF...,2005,OI MON AUTH LIAB,MILLIONS OF US$,0,2021,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,26407.407,141142,Weight in kilograms,141142
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2014,100,EC dollar,1993,Western calendar year,107478000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),352990000,2012,Other Activities (ISIC J-P),1123598300,,,1995,All Commodities,Export,21738262,,No Quantity,32878BJDZF...,2005,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,148647000,2021,Ferrous waste and scrap; of tinned iron or steel,Re-Export,479.259,9500,Weight in kilograms,9500
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2014,100,EC dollar,1993,Western calendar year,30472000,,,,,,,Exports of goods and services,557530000,2012,Total Value Added,2010225359,,,1995,All Commodities,Import,128901864,,No Quantity,32878BIDZF...,2005,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-248142000,2021,Ferrous waste and scrap; of tinned iron or steel,Export,479.259,9500,Weight in kilograms,9500
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2014,100,EC dollar,1993,Western calendar year,2323250000,,,,,,,Imports of goods and services,1068350000,2011,"Agriculture, hunting, forestry, fishing (ISIC A-B)",95470138.02,,,1994,All Commodities,Import,119072192,,No Quantity,32878BHDZF...,2005,OTHER INVESTMENT ASSETS,MILLIONS OF US$,308832000,2021,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,259.259,600,Weight in kilograms,600
